ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,kwh_2010_05,kwh_2010_06,kwh_2010_07,kwh_2010_08,kwh_2010_09,D_410_2,D_410_3,D_420_2.0,D_420_3.0,D_420_4.0,D_420_5.0,D_420_6.0,D_420_7.0,D_43111_2.0,D_43111_3.0,D_43111_4.0,D_43111_5.0,D_43111_6.0,D_405_2,D_43521_2.0,D_43521_3.0,D_43521_4.0,D_43521_5.0,D_43521_6.0,D_43521_7.0,D_470.1_1,D_470.2_1,D_470.3_1,D_470.4_1,D_470.5_1,D_470.6_1,D_4701.1_1,D_4701.2_1,D_4701.3_1,D_4701.4_1,D_4701.5_1,D_4701.6_1,D_4701.7_1,D_4701.8_1,D_470.7_1,D_5414_2,D_5414_3,D_5418_2,D_5418_3,D_5418_4,D_5418_5,D_5418_6
4667,E,E,146.31299999999982,109.28849999999932,114.83799999999945,121.25100000000013,186.77149999999992,182.41950000000043,121.55949999999984,129.73249999999953,104.40399999999936,127.4995000000004,147.33850000000004,112.9944999999998,138.82450000000014,112.4990000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4669,E,E,213.387,160.97149999999988,236.4045000000003,237.83000000000004,254.21100000000007,251.30300000000025,204.69950000000009,223.00450000000006,224.38849999999994,240.01399999999973,206.43949999999992,227.1605000000003,224.91149999999988,221.88900000000015,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4671,E,E,87.78350000000013,81.58200000000008,93.33749999999992,126.28249999999973,164.0470000000002,177.20800000000042,124.66150000000007,139.13749999999962,95.7315000000002,99.05950000000013,80.52750000000012,82.71050000000005,79.90450000000024,83.09049999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4678,B,4,97.23250000000016,103.73750000000021,109.36050000000016,119.93350000000022,147.49050000000014,154.91800000000018,84.81049999999992,127.61749999999986,99.68700000000042,106.64949999999943,86.11050000000039,91.5055,88.24649999999998,100.9380000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4691,E,E,514.3400000000005,539.8585,742.1094999999997,850.9954999999999,952.6600000000003,840.9299999999997,643.5165000000007,748.8005000000003,654.1625000000005,493.957,687.6390000000008,672.2415000000004,627.5865000000016,684.8860000000008,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4693,E,E,483.9935000000002,383.237,462.9494999999997,503.31750000000085,787.1310000000003,798.3324999999996,589.3104999999998,556.9679999999994,461.31850000000054,473.4495,490.4960000000003,534.8564999999994,511.0375000000008,477.775,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4694,E,E,404.12300000000033,405.4429999999999,408.36199999999917,411.82599999999985,471.77,433.385000000001,347.4085000000004,332.65800000000036,325.36749999999984,364.5904999999997,382.4285000000002,397.5124999999999,248.16749999999982,328.4119999999998,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4697,E,E,315.9450000000004,279.4145000000005,361.099,324.078999999999,366.69599999999963,393.6870000000001,307.71550000000025,317.6330000000001,296.1450000000002,304.0020000000002,322.8680000000004,334.8975000000001,319.0370000000001,304.7220000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4708,E,E,672.1025,664.212000000001,687.4085000000005,655.1600000000004,779.8064999999997,740.9490000000008,643.0875000000002,691.4059999999997,611.7645000000002,611.4695000000012,616.8984999999999,803.0134999999997,659.5004999999989,552.9059999999997,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4711,E,E,256.55700000000013,254.5029999999996,337.59650000000016,325.2664999999999,538.5759999999989,435.8860000000008,292.21100000000007,271.8135,270.1460000000001,284.3934999999998,278.74050000000005,259.3570000000002,332.551,331.4544999999996,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
