ID,date_cer,kwh
2570,41333,0.054913924
2570,41334,5.113544304
2570,41335,6.047081013
2570,41336,5.511544304
2570,41337,4.565916456
2570,41338,4.106956962
2570,41339,5.019334177
2570,41340,4.521582278
2570,41341,4.118040506
2570,41342,4.085293671
2570,41343,4.051539241
2570,41344,3.692835443
2570,41345,3.968916456
2570,41346,3.681248101
2570,41347,0.414625316
2570,41348,0.044334177
2570,41401,0.060745063
2570,41402,0.055222785
2570,41403,0.054720759
2570,41404,0.044178228
2570,41405,0.060745063
2570,41406,0.054720759
2570,41407,0.055222785
2570,41408,0.044178228
2570,41409,0.060745063
2570,41410,0.054720759
2570,41411,3.079423291
2570,41412,5.524788608
2570,41413,5.42588962
2570,41414,4.125644051
2570,41415,4.031765316
2570,41416,4.043311899
2570,41417,0.297701013
2570,41418,0.054720759
2570,41419,0.060745063
2570,41420,0.044178228
2570,41421,0.054720759
2570,41422,0.055222785
2570,41423,0.060745063
2570,41424,0.044178228
2570,41425,0.054720759
2570,41426,0.055222785
2570,41427,0.060745063
2570,41428,0.044178228
2570,41429,0.054720759
2570,41430,0.055222785
2570,41431,0.060745063
2570,41432,0.054720759
2570,41433,0.044178228
2570,41434,5.101079241
2570,41435,6.031332152
2570,41436,5.491654937
2570,41437,4.081967848
2570,41438,4.329466329
2570,41439,3.960477722
2570,41440,3.921821772
2570,41441,4.043311899
2570,41442,3.552833165
2570,41443,4.059376709
2570,41444,3.542290633
2570,41445,5.904821772
2570,41446,5.915866329
2570,41447,2.765155443
2570,41448,0.402122278
2570,41501,0.055710127
2570,41502,0.049632658
2570,41503,0.055710127
2570,41504,0.055710127
2570,41505,0.044568101
2570,41506,0.060774684
2570,41507,0.055710127
2570,41508,0.055710127
2570,41509,0.044568101
2570,41510,0.060774684
2570,41511,3.095457215
2570,41512,5.101021772
2570,41513,5.56848038
2570,41514,4.095200759
2570,41515,4.095707215
2570,41516,4.20105
2570,41517,0.427448608
2570,41518,0.055710127
2570,41519,0.055710127
2570,41520,3.862231139
2570,41521,7.712813797
2570,41522,2.945039873
2570,41523,0.055710127
2570,41524,0.044568101
2570,41525,0.060774684
2570,41526,0.055710127
2570,41527,0.044568101
2570,41528,1.078244177
2570,41529,2.450232658
2570,41530,2.406171013
2570,41531,2.378315949
2570,41532,2.36768038
2570,41533,2.356031899
2570,41534,6.745989873
2570,41535,7.490986203
2570,41536,4.900971772
2570,41537,4.301328228
2570,41538,4.667495696
2570,41539,4.334754304
2570,41540,4.072916709
2570,41541,4.028855063
2570,41542,3.606471013
2570,41543,4.067852152
2570,41544,3.578615949
2570,41545,3.734097848
2570,41546,3.895657215
2570,41547,0.11648481
2570,41548,0.044568101
2570,41601,0.05565443
2570,41602,0.055148481
2570,41603,0.044523544
2570,41604,0.061219873
2570,41605,0.044523544
2570,41606,0.055148481
2570,41607,0.05565443
2570,41608,0.050088987
2570,41609,0.05565443
2570,41610,0.055148481
2570,41611,3.058969873
2570,41612,5.029642658
2570,41613,5.462229367
2570,41614,4.041523544
2570,41615,4.041523544
2570,41616,4.035958101
2570,41617,0.532764684
2570,41618,3.391884557
2570,41619,5.012946329
2570,41620,1.65445443
2570,41621,0.05565443
2570,41622,0.055148481
2570,41623,0.05565443
2570,41624,0.050088987
2570,41625,0.055148481
2570,41626,2.659269873
2570,41627,5.823477215
2570,41628,2.281831646
2570,41629,0.055148481
2570,41630,1.482431646
2570,41631,5.723299241
2570,41632,3.031142658
2570,41633,4.246938987
2570,41634,4.063785316
2570,41635,4.024321266
2570,41636,4.141701519
2570,41637,4.079975696
2570,41638,3.558341899
2570,41639,3.5973
2570,41640,3.58110962
2570,41641,3.591734557
2570,41642,3.580603671
2570,41643,3.225427215
2570,41644,3.513818354
2570,41645,3.508252911
2570,41646,3.1976
2570,41647,3.519889747
2570,41648,0.960291899
2570,41701,0.05565443
2570,41702,0.049583038
2570,41703,0.05565443
2570,41704,0.05565443
2570,41705,0.044523544
2570,41706,0.060713924
2570,41707,0.05565443
2570,41708,0.05565443
2570,41709,0.044523544
2570,41710,0.060713924
2570,41711,2.898077975
2570,41712,5.246188987
2570,41713,5.029136709
2570,41714,3.691912532
2570,41715,3.969172785
2570,41716,3.591734557
2570,41717,2.375938228
2570,41718,4.574288228
2570,41719,4.041523544
2570,41720,3.913518354
2570,41721,3.764263291
2570,41722,3.663579367
2570,41723,3.997
2570,41724,3.5973
2570,41725,3.608430886
2570,41726,3.680781646
2570,41727,3.841673544
2570,41728,3.663579367
2570,41729,3.613996329
2570,41730,4.108308861
2570,41731,4.052148481
2570,41732,3.630692658
2570,41733,3.997
2570,41734,3.563907342
2570,41735,3.575038228
2570,41736,3.647388987
2570,41737,3.847238987
2570,41738,3.752626456
2570,41739,3.586169114
2570,41740,3.580603671
2570,41741,3.575038228
2570,41742,3.58110962
2570,41743,3.563907342
2570,41744,3.586169114
2570,41745,3.575038228
2570,41746,3.575038228
2570,41747,3.575038228
2570,41748,3.547211013
2570,41801,0.044401013
2570,41802,0.055501266
2570,41803,0.055501266
2570,41804,0.049446582
2570,41805,0.055501266
2570,41806,0.055501266
2570,41807,0.044401013
2570,41808,0.060546835
2570,41809,0.055501266
2570,41810,0.044401013
2570,41811,3.044496709
2570,41812,5.525403291
2570,41813,5.004700506
2570,41814,4.046546835
2570,41815,4.041501266
2570,41816,3.687302278
2570,41817,0.425846076
2570,41818,1.544953418
2570,41819,5.513798481
2570,41820,2.546498987
2570,41821,0.044401013
2570,41822,0.055501266
2570,41823,0.054996709
2570,41824,0.061051392
2570,41825,0.044401013
2570,41826,0.055501266
2570,41827,0.054996709
2570,41828,0.061051392
2570,41829,0.044401013
2570,41830,0.055501266
2570,41831,5.092997975
2570,41832,6.006750633
2570,41833,0.055501266
2570,41834,5.519348608
2570,41835,4.539498987
2570,41836,4.047051392
2570,41837,3.576299747
2570,41838,3.80335038
2570,41839,3.77004962
2570,41840,5.524898734
2570,41841,5.801900506
2570,41842,5.707548354
2570,41843,5.56374962
2570,41844,4.395700253
2570,41845,4.340703544
2570,41846,3.80335038
2570,41847,0.348648861
2570,41848,0.060546835
2570,41901,0.044345316
2570,41902,0.055431646
2570,41903,0.055431646
2570,41904,0.049384557
2570,41905,0.055431646
2570,41906,0.055431646
2570,41907,0.055431646
2570,41908,0.049384557
2570,41909,0.055431646
2570,41910,0.055431646
2570,41911,3.068393544
2570,41912,5.529558608
2570,41913,5.523511519
2570,41914,4.25715038
2570,41915,4.3791
2570,41916,4.550938101
2570,41917,0.458570886
2570,41918,0.055431646
2570,41919,0.044345316
2570,41920,0.060470886
2570,41921,0.055431646
2570,41922,0.044345316
2570,41923,0.055431646
2570,41924,0.060470886
2570,41925,0.055431646
2570,41926,0.055431646
2570,41927,0.044345316
2570,41928,0.060470886
2570,41929,0.055431646
2570,41930,0.055431646
2570,41931,0.044345316
2570,41932,0.060470886
2570,41933,0.055431646
2570,41934,4.561520506
2570,41935,6.054647468
2570,41936,6.009798228
2570,41937,5.026138481
2570,41938,4.561520506
2570,41939,4.561520506
2570,41940,4.44007481
2570,41941,4.196679494
2570,41942,4.080273038
2570,41943,4.080776962
2570,41944,4.064147468
2570,41945,4.080273038
2570,41946,4.064147468
2570,41947,0.104816203
2570,41948,0.06097481
2570,42001,0.055556962
2570,42002,0.043940506
2570,42003,0.055556962
2570,42004,0.061112658
2570,42005,0.055051899
2570,42006,0.04444557
2570,42007,0.055556962
2570,42008,0.061112658
2570,42009,0.055051899
2570,42010,0.04444557
2570,42011,3.119775949
2570,42012,6.068335443
2570,42013,5.535998734
2570,42014,4.649612658
2570,42015,4.03444557
2570,42016,4.427889873
2570,42017,0.216167089
2570,42018,0.055051899
2570,42019,1.402055696
2570,42020,5.148110127
2570,42021,4.095558228
2570,42022,0.055556962
2570,42023,0.043940506
2570,42024,0.061112658
2570,42025,0.055556962
2570,42026,0.055556962
2570,42027,0.055051899
2570,42028,0.061112658
2570,42029,0.04444557
2570,42030,0.055051899
2570,42031,0.055556962
2570,42032,0.061112658
2570,42033,0.055556962
2570,42034,4.637996203
2570,42035,6.085002532
2570,42036,5.258718987
2570,42037,4.394555696
2570,42038,4.377888608
2570,42039,4.23394557
2570,42040,3.995555696
2570,42041,3.868279747
2570,42042,4.139498734
2570,42043,4.316775949
2570,42044,3.99
2570,42045,3.784944304
2570,42046,4.062224051
2570,42047,0.559610127
2570,42048,0.04444557
2570,42101,0.055570886
2570,42102,0.055570886
2570,42103,0.060622785
2570,42104,0.044456709
2570,42105,0.055570886
2570,42106,0.055065696
2570,42107,0.061127975
2570,42108,0.044456709
2570,42109,0.055570886
2570,42110,0.055065696
2570,42111,3.087720506
2570,42112,5.093829494
2570,42113,5.803621266
2570,42114,4.279463418
2570,42115,4.578535823
2570,42116,4.073851139
2570,42117,0.526913038
2570,42118,0.055570886
2570,42119,0.049508608
2570,42120,0.055570886
2570,42121,0.055570886
2570,42122,0.044456709
2570,42123,0.060622785
2570,42124,0.055570886
2570,42125,0.055570886
2570,42126,0.043951519
2570,42127,0.061127975
2570,42128,0.055570886
2570,42129,0.055570886
2570,42130,0.043951519
2570,42131,0.061127975
2570,42132,0.055570886
2570,42133,0.055570886
2570,42134,4.616930253
2570,42135,6.103198861
2570,42136,6.069351139
2570,42137,4.928127215
2570,42138,4.728072025
2570,42139,4.079913418
2570,42140,4.528522025
2570,42141,4.168321646
2570,42142,4.101636582
2570,42143,4.102141772
2570,42144,3.774778734
2570,42145,3.924314937
2570,42146,4.079913418
2570,42147,0.393542911
2570,42148,0.055570886
2570,42201,0.060425316
2570,42202,0.044311899
2570,42203,0.055389873
2570,42204,0.054886329
2570,42205,0.060928861
2570,42206,0.044311899
2570,42207,0.055389873
2570,42208,0.054886329
2570,42209,0.060928861
2570,42210,0.044311899
2570,42211,3.132549114
2570,42212,5.502732152
2570,42213,5.619050886
2570,42214,4.436728861
2570,42215,4.558083038
2570,42216,4.09381519
2570,42217,0.525196709
2570,42218,0.060425316
2570,42219,0.055389873
2570,42220,0.044311899
2570,42221,0.055389873
2570,42222,0.054886329
2570,42223,0.060928861
2570,42224,0.044311899
2570,42225,0.055389873
2570,42226,1.253825316
2570,42227,5.176938987
2570,42228,4.828989873
2570,42229,0.055389873
2570,42230,0.049347342
2570,42231,0.055389873
2570,42232,0.055389873
2570,42233,0.055389873
2570,42234,4.580238987
2570,42235,8.265176203
2570,42236,7.734944051
2570,42237,7.171477975
2570,42238,6.431267848
2570,42239,6.536005063
2570,42240,6.243445823
2570,42241,6.220786329
2570,42242,6.204672911
2570,42243,6.204672911
2570,42244,6.210211899
2570,42245,6.19863038
2570,42246,6.210211899
2570,42247,1.497540759
2570,42248,0.054886329
2570,42301,0.044256203
2570,42302,0.055320253
2570,42303,0.060852278
2570,42304,0.043753291
2570,42305,0.055320253
